,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
752,2016,2,Formosa,19.370070664563997,18.639708302862847
728,2016,3,Formosa,18.639708302862847,19.84823607816392
704,2016,4,Formosa,19.84823607816392,19.842489178645863
680,2017,1,Formosa,19.842489178645863,19.965076445261992
656,2017,2,Formosa,19.965076445261992,21.350384380070757
632,2017,3,Formosa,21.350384380070757,21.270976689249718
608,2017,4,Formosa,21.270976689249718,21.404310259211442
584,2018,1,Formosa,21.404310259211442,29.434226520796997
560,2018,2,Formosa,29.434226520796997,29.576573428878444
536,2018,3,Formosa,29.576573428878444,29.73653915732
512,2018,4,Formosa,29.73653915732,29.677694630431926
488,2019,1,Formosa,29.677694630431926,30.418236006943307
464,2019,2,Formosa,30.418236006943307,30.11243299777749
440,2019,3,Formosa,30.11243299777749,30.471313480544048
416,2019,4,Formosa,30.471313480544048,30.228303962606848
392,2020,1,Formosa,30.228303962606848,31.1394362262631
368,2020,2,Formosa,31.1394362262631,31.905623310186538
344,2020,3,Formosa,31.905623310186538,32.487381907596735
320,2020,4,Formosa,32.487381907596735,32.732955756327215
296,2021,1,Formosa,32.732955756327215,33.22548419322613
272,2021,2,Formosa,33.22548419322613,33.962033540684324
248,2021,3,Formosa,33.962033540684324,34.4545746388443
224,2021,4,Formosa,34.4545746388443,34.955686995751336
200,2022,1,Formosa,34.955686995751336,43.42
176,2022,2,Formosa,43.42,43.76
152,2022,3,Formosa,43.76,39.41
128,2022,4,Formosa,39.41,38.79
104,2023,1,Formosa,38.79,38.32
80,2023,2,Formosa,38.32,38.86
56,2023,3,Formosa,38.86,39.23
32,2023,4,Formosa,39.23,39.61
8,2024,1,Formosa,39.61,18.41535244687765
969,2014,1,Jujuy,18.41535244687765,18.706060999413573
945,2014,2,Jujuy,18.706060999413573,18.368534215570367
921,2014,3,Jujuy,18.368534215570367,19.59941818052116
897,2014,4,Jujuy,19.59941818052116,19.68971363262363
873,2015,1,Jujuy,19.68971363262363,20.287219077594944
849,2015,2,Jujuy,20.287219077594944,21.2703333470887
825,2015,3,Jujuy,21.2703333470887,21.47147379391073
801,2015,4,Jujuy,21.47147379391073,21.41001128856396
777,2016,1,Jujuy,21.41001128856396,21.888281043576683
753,2016,2,Jujuy,21.888281043576683,22.605154265256864
729,2016,3,Jujuy,22.605154265256864,22.651387008241425
705,2016,4,Jujuy,22.651387008241425,22.756985962232346
681,2017,1,Jujuy,22.756985962232346,22.403415894624064
657,2017,2,Jujuy,22.403415894624064,22.64536299508256
633,2017,3,Jujuy,22.64536299508256,22.742083716267025
609,2017,4,Jujuy,22.742083716267025,23.121260875677535
585,2018,1,Jujuy,23.121260875677535,23.432202729854474
561,2018,2,Jujuy,23.432202729854474,23.263700137195517
537,2018,3,Jujuy,23.263700137195517,46.53226639132679
513,2018,4,Jujuy,46.53226639132679,46.40843874036665
489,2019,1,Jujuy,46.40843874036665,44.511922790626045
465,2019,2,Jujuy,44.511922790626045,44.322486842913605
441,2019,3,Jujuy,44.322486842913605,45.37754633175065
417,2019,4,Jujuy,45.37754633175065,46.670230639987786
393,2020,1,Jujuy,46.670230639987786,47.887810227872784
369,2020,2,Jujuy,47.887810227872784,54.04441923820905
345,2020,3,Jujuy,54.04441923820905,53.45659123390888
321,2020,4,Jujuy,53.45659123390888,55.63244789620541
297,2021,1,Jujuy,55.63244789620541,56.182157011467694
273,2021,2,Jujuy,56.182157011467694,55.6892647441935
249,2021,3,Jujuy,55.6892647441935,56.921070514870486
225,2021,4,Jujuy,56.921070514870486,58.06462866426784
201,2022,1,Jujuy,58.06462866426784,57.32
177,2022,2,Jujuy,57.32,58.91
153,2022,3,Jujuy,58.91,58.46
129,2022,4,Jujuy,58.46,58.2
105,2023,1,Jujuy,58.2,57.78
81,2023,2,Jujuy,57.78,57.61
57,2023,3,Jujuy,57.61,57.78
33,2023,4,Jujuy,57.78,57.65
9,2024,1,Jujuy,57.65,48.42532103828204
970,2014,1,La Pampa,48.42532103828204,49.70759616034458
946,2014,2,La Pampa,49.70759616034458,55.78120173850417
922,2014,3,La Pampa,55.78120173850417,51.273133452228585
898,2014,4,La Pampa,51.273133452228585,55.50803232733774
874,2015,1,La Pampa,55.50803232733774,56.70766522530004
850,2015,2,La Pampa,56.70766522530004,57.96395975091518
826,2015,3,La Pampa,57.96395975091518,58.75633720012275
802,2015,4,La Pampa,58.75633720012275,57.84086865504526
778,2016,1,La Pampa,57.84086865504526,60.43686025737927
754,2016,2,La Pampa,60.43686025737927,61.73178543650905
730,2016,3,La Pampa,61.73178543650905,63.016182768654026
706,2016,4,La Pampa,63.016182768654026,62.66928104575163
682,2017,1,La Pampa,62.66928104575163,63.49352648099681
658,2017,2,La Pampa,63.49352648099681,69.13993701142644
634,2017,3,La Pampa,69.13993701142644,71.04976106378558
610,2017,4,La Pampa,71.04976106378558,71.75163692275797
586,2018,1,La Pampa,71.75163692275797,71.04033787278055
562,2018,2,La Pampa,71.04033787278055,71.75023651844843
538,2018,3,La Pampa,71.75023651844843,73.49404828314209
514,2018,4,La Pampa,73.49404828314209,76.35457433780647
490,2019,1,La Pampa,76.35457433780647,77.08313750288404
466,2019,2,La Pampa,77.08313750288404,77.45269423291748
442,2019,3,La Pampa,77.45269423291748,76.92418969170417
418,2019,4,La Pampa,76.92418969170417,75.76678781291396
394,2020,1,La Pampa,75.76678781291396,76.10158288987562
370,2020,2,La Pampa,76.10158288987562,79.26447706670275
346,2020,3,La Pampa,79.26447706670275,81.76793248945148
322,2020,4,La Pampa,81.76793248945148,81.77676345752207
298,2021,1,La Pampa,81.77676345752207,82.08000672325404
274,2021,2,La Pampa,82.08000672325404,84.27996309653611
250,2021,3,La Pampa,84.27996309653611,89.56734270241313
226,2021,4,La Pampa,89.56734270241313,91.66332531408715
202,2022,1,La Pampa,91.66332531408715,92.98
178,2022,2,La Pampa,92.98,96.59
154,2022,3,La Pampa,96.59,94.8
130,2022,4,La Pampa,94.8,96.55
106,2023,1,La Pampa,96.55,98.35
82,2023,2,La Pampa,98.35,99.0
58,2023,3,La Pampa,99.0,99.96
34,2023,4,La Pampa,99.96,100.49
10,2024,1,La Pampa,100.49,16.294104815837528
971,2014,1,La Rioja,16.294104815837528,16.502564816345664
947,2014,2,La Rioja,16.502564816345664,16.50671327406722
923,2014,3,La Rioja,16.50671327406722,17.01075088723615
899,2014,4,La Rioja,17.01075088723615,16.703201787413843
875,2015,1,La Rioja,16.703201787413843,16.883190981963825
851,2015,2,La Rioja,16.883190981963825,17.151129442032545
827,2015,3,La Rioja,17.151129442032545,17.315778648410653
803,2015,4,La Rioja,17.315778648410653,16.83351837249417
779,2016,1,La Rioja,16.83351837249417,16.878902611111524
755,2016,2,La Rioja,16.878902611111524,17.074559106484113
731,2016,3,La Rioja,17.074559106484113,16.45531638401623
707,2016,4,La Rioja,16.45531638401623,16.19552414605418
683,2017,1,La Rioja,16.19552414605418,16.203445806143563
